2019年　訪日外客数（総数）,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,出典：日本政府観光局（JNTO)
,,,,,,,,,,,,,,,,,,,,,,,,,,
＊本表で、通年の月別・市場別の推移が確認できます。伸率は前年同月比を表しています。,,,,,,,,,,,,,,,,,,,,,,,,,,単位：人数（人）、伸率（％）
,1月,伸率,2月,伸率,3月,伸率,4月,伸率,5月,伸率,6月,伸率,7月,伸率,8月,伸率,9月,伸率,10月,伸率,11月,伸率,12月,伸率,累計,伸率
総数,2689339,7.512965692535678,2604322,3.7869172122710015,2760136,5.8352211463690296,2926685,0.8951921558731257,2773091,3.664938102137838,2880041,6.485542759807146,2991189,5.619588706374202,2520134,-2.2454045176513233,2272883,5.245798402015197,2496568,-5.454875956691836,2441274,-0.38669779181972785,2526387,-4.004482144377036,31882049,2.2127346317577263
アジア計,2366944,7.2285144897827,2323258,3.3839693878595423,2287450,5.267832530519145,2369734,-2.5202375482363037,2344872,2.670228430741095,2483217,6.073558125835902,2563058,5.44300693777069,2156004,-4.39634117139984,1827278,0.5637205667474774,1959436,-10.569240016814177,2016676,-3.729792897487499,2121351,-7.189014327540136,26819278,0.22931530024121116
韓国,779383,-3.039625984056049,715804,1.056869936949223,585586,-5.428006640869776,566624,-11.260205192295347,603394,-5.771954618922315,611867,0.9411675426701009,561675,-7.612101593379748,308730,-48.02008953751299,201252,-58.04916484794667,197281,-65.46055856688656,205042,-65.14153886432295,247959,-63.619223963636685,5584597,-25.923430736792056
中国,754421,19.31302031934006,723617,1.0168455173780844,691279,16.196967659517234,726132,6.256429467190139,756365,13.126682620400842,880651,15.730620580354255,1050420,19.488520606940995,1000639,16.337003747147193,819054,25.479363912124285,730631,2.1497228261249575,750951,21.660359140189087,710234,18.552928961785113,9594394,14.491110656591616
台湾,387498,10.548838589303955,399829,-0.2566993798302608,402433,3.8971131156767536,403467,-14.163627931121049,426537,-3.0837815177603756,461085,0.9170597183160112,459216,-0.27298017473337666,420279,6.52083000676717,376186,14.292919165588103,413701,8.97393008510852,392102,11.422685099671796,348269,3.7163107894815113,4890602,2.8029591836305627
香港,154292,-3.8798903563418863,179324,0.47175625553277367,171430,-12.379696500401227,194806,8.26765964541767,189007,-0.7863310674260493,209030,1.6935134688079216,216810,-4.385790831514186,190260,-3.9706854694211273,155927,23.58092792492907,180562,6.543225174511576,199702,19.45042587807447,249642,19.18702913288837,2290792,3.7588481586227687
タイ,92649,12.176724137931028,107845,31.49103234695245,147443,26.873069277963737,164817,10.87812064824718,107857,4.155319929698509,62984,-14.472719372097444,73202,-1.6128598693583456,49589,4.3825120508556665,62057,14.029252875675269,145333,23.216814046749022,140265,36.29738317575382,164936,28.550941513904462,1318977,16.500936263425658
シンガポール,22676,7.118900278709428,26102,11.091249574395645,43687,14.697156659402989,36704,-2.3959579843105927,37650,-4.405230417671701,47264,18.23389618511571,21716,1.5573118832717512,19698,20.609845701689935,29147,24.741076778224766,41937,19.400392904934094,65295,20.306223974647168,100376,15.26474742487052,492252,12.571350164654234
マレーシア,31399,0.9224736436101777,36660,3.796823239616076,50615,6.217997145974996,46092,-6.339917093391856,42629,17.048325096101035,30534,-16.258022050353787,22957,-0.5673943173943172,19827,-1.5687832001191566,28778,7.9161510481118995,48864,24.847338971358496,64987,17.053621282804073,78250,15.708223047007849,501592,7.0953967033905485
インドネシア,32477,8.72782055574155,24622,16.675354215040517,39609,22.144443073886766,39768,-7.737280467716867,30107,-4.3006993006992955,49290,-12.228217319301251,25215,-4.831100207586331,16160,-7.498568975386377,25021,2.3898187175185086,34094,20.67391073514318,37213,15.892245406415455,59203,9.704258236667542,412779,4.013334946025225
フィリピン,35987,13.50217624424399,35170,27.895559838539576,48277,-13.949343172379368,69266,8.409371918676545,59578,0.9522841263386095,46842,25.40022487551535,37771,30.402209563266013,31470,27.336732216557408,37758,52.37903063077607,64690,36.71908022656183,64763,37.896305759608225,81542,46.48438903459922,613114,21.655396288712154
ベトナム,35375,27.693751579251334,39377,68.5226397329453,47881,35.89044983681,55295,9.932603033857523,39900,41.62998722135454,35419,20.162165829827657,40762,21.706676221187166,43709,27.69581349148382,38325,30.93611206012983,46510,17.98280104512824,41892,23.262519861119287,30606,25.661028083429144,495051,27.260832122980432
インド,12468,9.966484388781094,9071,15.275130257974334,17752,28.34008097165992,18376,3.7430136058262287,19914,15.303109258294256,15359,23.01962354825791,13222,6.380239761847292,13308,26.634313445618034,15895,19.421487603305778,13929,1.4050669772859692,14863,12.046739540143236,11739,14.28154205607477,175896,14.196677249089461
マカオ,6608,7.150964812712823,7933,-3.185257505491823,8045,8.467035189429684,6873,-7.794472766299975,8538,5.616031667491339,9962,19.96628131021194,16358,11.69682485489929,17232,8.774144678702186,8076,54.092730394962786,7538,-2.5090532850491485,9309,27.74804446274186,14725,19.453232741137356,121197,11.50293484460964
イスラエル,1107,17.51592356687899,1524,51.94416749750748,6032,0.3159820389156742,7453,9.249486953972452,3164,14.762422923467543,1644,6.892067620286085,2221,1.7873510540788402,2130,-7.832107312851576,5402,-23.818925398392338,7956,104.47185813415575,3728,8.15201624601103,1853,54.933110367892965,44214,12.810961141020073
モンゴル,2893,20.091324200913242,2108,21.63877668782459,2989,28.72523686477175,2650,12.145577655522644,2166,3.5868005738880937,2570,28.88665997993982,2203,-3.2498902064119477,3275,40.981489453293165,3102,15.102040816326536,2637,12.022090059473229,2473,-5.826351865955829,2447,-0.5284552845528481,31513,13.9834340073064
トルコ,1153,4.722979109900094,1105,11.842105263157897,2181,2.538787023977429,2483,-7.729468599033817,1906,15.795868772782494,2736,74.71264367816093,2025,11.940298507462671,1924,-4.326205867727495,1752,29.20353982300884,1855,-0.8551576696953447,2176,47.02702702702703,1428,27.956989247311824,22724,14.988361501872276
その他アジア,16558,17.332766439909285,13167,23.808180535966137,22211,20.41745730550284,28928,-1.3605210215842045,16160,11.741114645277273,15980,27.584830339321357,17285,12.922192460965576,17774,18.359192914696678,19546,17.66193113411991,21918,17.29009471825333,21915,33.758544921875,18142,17.812844989934405,229584,16.5921833103112
ヨーロッパ計,92337,4.7165959763206144,99499,4.251841451786964,186225,8.511344963814981,240955,20.066273014923897,164278,6.478354711795853,134028,11.649062010596126,178049,8.269382791121927,165158,9.30087886488775,188424,35.41654688667853,248153,28.547377799879825,165715,19.55917896179791,123708,19.56160358758264,1986529,15.49157473210299
英国,21554,8.240847687440356,23554,-1.4146994809978275,38610,6.077256992142432,44537,23.081387315185854,31642,4.394589244473779,25801,14.41685144124169,28928,9.129319450731856,26213,8.479556364840263,49580,84.28486470413321,68401,85.6200814111262,37709,37.53875332822702,27750,21.242572527088427,424279,27.03762811434251
フランス,15320,4.917134639090537,17397,7.045286733940448,29408,16.090320543186486,46005,4.445251662996341,30863,4.3268093161613175,21317,9.989164645787113,34634,4.146744850398434,30851,9.420109948572446,26530,31.708285756838592,39457,14.967948717948715,24290,10.118777767703335,20261,14.288131768953065,336333,10.3107289042821
ドイツ,11358,2.638713175492491,13384,1.3632232656770604,28659,14.99016972274605,27829,25.85473950795949,21552,5.833824395992937,15697,8.848207475209762,18593,8.350815850815849,17264,6.528446254473636,22768,13.80585824252725,26276,5.6788931788931905,19525,5.29012079378775,13639,9.40959409594096,236544,9.848794442174082
イタリア,6033,-5.601627288374278,5897,-0.7573207674183791,14956,12.926608275445496,24062,35.46897871861277,12463,2.3066819898210467,11357,2.834118073161889,13566,0.1920236336779908,22804,3.3960553162548166,13354,8.80795241587225,14731,-2.210568242166758,12350,6.273126236984766,11196,25.206888839185865,162769,8.469278955084619
ロシア,6316,11.021269115837583,5601,13.449463236783465,11701,31.235980260206375,13787,11.410101010101004,9691,30.080536912751676,8844,25.482406356413165,9005,15.924304840370752,8321,23.65879031059592,10454,38.3719391131701,14348,33.123028391167196,13142,41.73856773080243,8833,40.36230732559986,120043,26.614281193966875
スペイン,4382,5.159587233021368,4533,8.626887131560036,8916,-22.631030892051374,13858,50.515911806234385,9971,7.180479415242402,9762,17.784749034749026,15771,16.94349695981016,20009,3.861925772125602,11472,8.574673480976713,13739,-2.4911284599006365,10535,19.14725175299705,7295,21.786310517529216,130243,9.539028267213908
スウェーデン,3509,1.710144927536228,3228,-6.893567926160948,5461,-13.179650238473773,6702,8.887083671811524,4171,-1.7894984695078886,5321,-1.0230654761904816,4364,-0.2970070824765827,2669,1.3672616786934952,3664,-1.372812920592196,5909,-2.1850686972355646,4843,10.773101555352255,3995,8.002162746688299,53836,0.026011668091115325
オランダ,3321,-2.4955960070463856,4139,14.210816777041945,7071,25.99786172487526,9476,7.816588917965639,7502,8.191520046149403,4930,10.020084802499454,10459,14.556407447973712,6059,10.747578139279852,6862,6.6853233830845795,9113,11.2019524100061,6080,4.665174728869005,4467,6.712852365026279,79479,10.2818132622903
