2024年　訪日外客数（総数）,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,出典：日本政府観光局（JNTO)
,,,,,,,,,,,,,,,,,,,,,,,,,,,
＊本表で、通年の月別・市場別の推移が確認できます。伸率は前年同月比を表しています。,,,,,,,,,,,,,,,,,,,,,,,,,,,単位：人数（人）、伸率（％）
,,1月,伸率,2月,伸率,3月,伸率,4月,伸率,5月,伸率,6月,伸率,7月,伸率,8月,伸率,9月,伸率,10月,伸率,11月,伸率,12月,伸率,累計,伸率
総数,,2688478,79.53444204632876,2788224,88.9738419673931,3081781,69.55071918381,3043003,56.112600013543755,3040294,60.084899977674525,3140642,51.4700442404679,3292602,41.88005829290722,2933381,35.98157788604618,2872487,31.49751744381402,3312193,31.61260149017155,3187175,30.574298718909905,3489888,27.6423266760908,36870148,47.09021457052982
アジア計,,2302455,82.2058376646809,2394282,91.33652882576041,2331739,72.27387815504466,2372776,62.95777395011771,2414749,65.46992862468204,2553414,55.68971004825417,2696910,45.500109250112644,2435468,37.09692945002328,2271885,31.649368462469624,2516336,29.557313990887916,2558465,29.44336819439083,2904376,27.02556364670122,29752855,48.87666199213786
韓国,,857039,51.620961307454564,818562,43.955386882674276,663102,42.04965617703132,661259,41.60115806221586,738872,43.27082489039532,703277,29.02058196001022,757679,20.87471882328542,612172,7.569953540025168,656753,15.145283141264684,732167,16.01000754209949,749506,15.330439452388683,867377,10.81489563397664,8817765,26.719445328256374
中国,,416088,1229.7369850755808,459463,1166.2615405815075,452525,496.8884374917561,533611,392.7383535712637,545552,305.58471489108615,665617,219.12903395933319,776520,147.82975029362203,746010,104.81950865941113,652405,100.3423973959373,582919,127.37322084011062,546339,111.4781511401509,604293,93.38985003552295,6981342,187.87175428230006
台湾,,492288,89.82339785609625,502237,102.11313799583891,484454,73.70043958092808,459723,57.674815820883225,466008,53.62411527544725,574487,47.69214553082966,571698,35.359270378543215,564360,42.39073940445974,470635,22.16067632423902,478902,12.720750746721837,488362,21.032074508423833,491162,22.944180225281603,6044316,43.82893342286875
香港,,186300,22.614996807929487,205884,72.42494032913194,231373,59.69864923626977,184460,20.704886172530905,217486,40.86519466556126,250604,34.499044674867434,279069,28.95205001547967,246557,19.532935467137264,170216,12.623646095926205,198827,10.8807914519619,227062,13.288562476300717,285553,13.72988688864107,2683391,26.910161832991076
タイ,,90585,42.80872128769843,101443,38.40937619385471,131749,22.01805973605002,142521,17.764538678917873,97408,20.66197601823407,54604,6.334832817277174,53494,7.822546509987305,34667,4.525719109931842,45522,-9.843143468272203,132188,6.125660334944364,118001,3.4116801626529254,146666,16.56626027244838,1148848,15.397395229609929
シンガポール,,34140,28.0666216520369,36915,36.32838466651896,61047,15.90248903571225,46324,10.342527749988093,62676,25.992039560969715,58925,7.984533059668664,28115,11.038704581358601,24781,22.218386269481158,37433,-1.7635480908017342,68790,24.809492706292183,95830,11.362896853065587,136250,19.838163507630064,691226,16.90589868874806
マレーシア,,32079,18.377061884202362,60178,88.10327581895473,41953,7.83724038659264,45983,14.260510883609982,39562,16.34513586636865,22042,0.14993866145667312,19260,10.963876245895037,17174,-10.580027074872433,39905,44.88254728969247,55091,21.985297373898412,62027,20.707974934807147,71629,17.799230339111272,506883,21.931288969286427
インドネシア,,41287,82.5404545052613,38246,42.698306096559946,37448,12.886986404606148,62515,28.45459962602996,41274,32.62853470437017,43052,9.614013647010893,29571,3.7979571062515305,22127,6.4207387456714144,35081,8.428633244730179,43215,7.339791356184799,48841,15.915509671294647,74994,17.73737754333082,517651,20.557219445621847
フィリピン,,56776,91.30024596516054,65217,92.18777627158602,78821,69.25637226481138,68499,9.085262923209214,67443,35.05076192955406,65011,19.886772272115365,55466,7.261511090483651,38971,0.8905687731379572,46618,9.01480251619391,80244,15.91765980498375,87078,36.66153991022944,108515,37.17496555298519,818659,31.555232020929047
ベトナム,,44602,-13.501667830269184,60181,7.760488477447296,67475,25.761839971669815,61607,11.62103889986048,50575,10.502971508477543,47458,22.08473747845548,49733,11.078105107989188,52430,2.914908234370401,45857,6.634266579853048,50982,1.0424924686855874,50213,7.308785502105016,40060,8.132912246605663,621173,8.234131824169392
インド,,12608,39.20724301645134,9965,41.327471280669414,27206,83.03283100107643,23162,42.34267453294004,29068,61.560693641618485,19884,40.00844951415294,14941,13.619771863117876,16113,25.62763137377202,17865,26.68415827542192,21706,29.125520523497915,23542,42.221953724400414,17001,25.793562708102108,233061,40.06574756301309
中東地域,,5886,45.76523031203564,6224,60.28843677568889,11876,-3.767928044728947,23157,67.63428405964964,14009,60.17608049394008,14086,54.198139025725226,12826,29.07316091375668,11433,31.398689805769465,14194,4.760498929810325,20859,103.82059800664452,19140,140.69416498993962,12569,74.01356776962481,166259,51.76124798042956
,　イスラエル,790,-4.1262135922330145,1139,-6.33223684210526,6525,-20.70725483047758,8435,13.940294475212738,5025,33.430695698353674,3245,14.260563380281695,3515,1.180195739781226,3654,-3.2565528196981717,6764,-20.2546569205376,10365,203.69176677409905,6950,671.3651498335183,3092,277.9951100244499,59499,31.801165186186118
,　トルコ,2860,67.84037558685446,2349,112.19512195121953,4460,113.60153256704982,8804,136.79397525551371,4434,89.81164383561645,6132,91.26637554585153,5193,103.32811276429132,5406,116.49979975971166,5050,74.13793103448276,6319,95.0910774930534,6690,108.0223880597015,4402,67.18571971135586,62099,99.04801589845503
,　GCC6か国,2236,48.079470198675494,2736,75.38461538461539,891,-55.97826086956522,5918,119.75492016338654,4550,72.08774583963691,4709,52.444156685011336,4118,5.346635968278335,2373,-2.2249690976514245,2380,9.829257037378866,4175,16.55499720826354,5500,43.41590612777054,5075,34.5440084835631,44661,34.47247982656871
マカオ,,5918,348.6732373009856,8469,382.0147979510529,8079,173.864406779661,6580,99.45438011518641,7258,71.58392434988178,9271,45.58731155778895,17658,75.07436049970255,19377,43.04591761405581,6496,16.981811633351356,7685,30.78624914908101,10223,42.69960915689559,16765,38.507931262392596,123779,66.70123363680439
モンゴル,,4624,56.16345829111788,3165,53.79008746355686,5193,69.04296875,4522,40,3614,26.14310645724258,3925,2.400208713801206,4162,26.89024390243901,5293,58.28349282296651,4601,23.749327595481446,4533,12.873505976095617,4222,15.134987728388328,5195,34.16838842975206,53049,32.90159334602666
その他アジア,,22235,27.706622250301535,18133,22.13241732336499,29438,40.6632262996942,48853,63.464498427357285,33944,29.42387615815761,21171,22.645116440736885,26718,27.82508850827672,24003,25.7030636292223,28304,27.979743172363897,38228,32.38675716858291,28079,13.044003381778655,26347,10.780809822141867,345453,29.78562733871331
ヨーロッパ計,,87424,46.20620453215153,115267,72.50890478613547,272119,76.54359433490984,262917,42.57971800433839,215712,47.40064505548571,152588,37.257688744164284,207253,26.169140296835607,202943,31.632441267658635,224898,38.2626337144965,299702,45.037916733208476,208816,40.35880166428048,140619,34.87468707737462,2390258,43.69436201780415
英国,,19809,31.220190779014303,25877,66.1018037101226,56450,62.19866103496824,48407,32.52388644016756,39120,41.028876311330606,28828,41.196062105108496,32910,22.04709809011682,29410,23.379619918613926,37413,25.9612147330146,51637,37.95249926531485,37050,25.554915449523875,30319,26.979938853289774,437230,36.004504140200694
フランス,,14444,47.825197011564825,22268,81.76475389764101,34685,63.431183150355736,51619,49.96368495976293,38159,42.629139567915075,23150,30.687591735350566,37353,19.98265450340486,31421,21.476068970849767,30745,39.53435599528001,49389,43.75654907439748,31126,28.71557356711604,20712,16.805774870291,385071,38.79633501059704
ドイツ,,10402,40.94850948509486,14862,59.77209202322081,47553,83.61649548227663,36029,31.675316131861706,32196,39.26810277705684,16603,21.5891614793116,22685,18.887898957077724,24129,20.651032551627594,37092,41.12544230110717,43351,40.326287508497074,25187,35.20317784100059,15781,33.624047417442846,325870,39.61269868471788
イタリア,,6879,59.790940766550506,7555,63.28074346228658,24394,91.5207662714925,24855,59.133107113131445,17443,47.472100101454174,14990,46.27244340359093,18370,31.50547641205526,34654,43.715008501638124,19592,34.14584046559398,25063,53.61936867912963,20849,55.83376934001046,15141,43.38068181818181,229785,50.871606316273265
スペイン,,4769,55.08943089430892,6323,90.33714629741121,16797,122.27074235807862,11722,41.194892796916406,13417,56.35706794079945,12907,48.47578511445991,18687,43.912206391990765,25906,49.8929583984262,19052,44.42086112795633,23391,50.76377699000967,18810,70.89125102207686,10503,65.11554786983179,182284,57.31361059090556
ロシア,,3242,99.14004914004914,2907,110.9579100145138,10579,209.87111892208554,10748,143.11241800497626,8004,170.40540540540536,5616,135.86728265434692,5675,75.20839765359679,6874,104.8882265275708,10187,137.2380065207266,15701,174.20537897310513,13852,134.22387554954344,5879,80.61443932411674,99264,136.53997378768022
