Year,Country,Total Visitors
2019,総数,31882049
2019,アジア計,26819278
2019,韓国,5584597
2019,中国,9594394
2019,台湾,4890602
2019,香港,2290792
2019,タイ,1318977
2019,シンガポール,492252
2019,マレーシア,501592
2019,インドネシア,412779
2019,フィリピン,613114
2019,ベトナム,495051
2019,インド,175896
2019,マカオ,121197
2019,イスラエル,44214
2019,モンゴル,31513
2019,トルコ,22724
2019,その他アジア,229584
2019,ヨーロッパ計,1986529
2019,英国,424279
2019,フランス,336333
2019,ドイツ,236544
2019,イタリア,162769
2019,ロシア,120043
2019,スペイン,130243
2019,スウェーデン,53836
2019,オランダ,79479
2019,スイス,53908
2019,ベルギー,39245
2019,フィンランド,29437
2019,ポーランド,38534
2019,デンマーク,32893
2019,ノルウェー,24838
2019,オーストリア,27530
2019,ポルトガル,32349
2019,アイルランド,39387
2019,その他ヨーロッパ,124882
2019,アフリカ計,55039
2019,北アメリカ計,2187557
2019,米国,1723861
2019,カナダ,375262
2019,メキシコ,71745
2019,その他北アメリカ,16689
2019,南アメリカ計,111200
2019,ブラジル,47575
2019,その他南アメリカ,63625
2019,オセアニア計,721718
2019,豪州,621771
2019,ニュージーランド,94115
2019,その他オセアニア,5832
2019,無国籍・その他,728
2023,総数,25066350
2023,アジア計,19984902
2023,韓国,6958494
2023,中国,2425157
2023,台湾,4202434
2023,香港,2114402
2023,タイ,995558
2023,シンガポール,591267
2023,マレーシア,415712
2023,インドネシア,429382
2023,フィリピン,622293
2023,ベトナム,573916
2023,インド,166394
2023,中東地域,109553
2023,,45143
2023,,31198
2023,,33212
2023,マカオ,74252
2023,モンゴル,39916
2023,その他アジア,266172
2023,ヨーロッパ計,1663432
2023,英国,321482
2023,フランス,277436
2023,ドイツ,233410
2023,イタリア,152305
2023,スペイン,115873
2023,ロシア,41965
2023,北欧地域,112970
2023,,39245
2023,,30780
2023,,21541
2023,,21404
2023,オランダ,74486
2023,スイス,53395
2023,ベルギー,34352
2023,ポーランド,40634
2023,オーストリア,26360
2023,ポルトガル,27812
2023,アイルランド,22985
2023,その他ヨーロッパ,127967
2023,アフリカ計,38266
2023,北アメリカ計,2583678
2023,米国,2045854
2023,カナダ,425874
2023,メキシコ,94684
2023,その他北アメリカ,17266
2023,南アメリカ計,99350
2023,ブラジル,50570
2023,その他南アメリカ,48780
2023,オセアニア計,696251
2023,豪州,613062
2023,ニュージーランド,78978
2023,その他オセアニア,4211
2023,無国籍・その他,471
2024,総数,36870148
2024,アジア計,29752855
2024,韓国,8817765
2024,中国,6981342
2024,台湾,6044316
2024,香港,2683391
2024,タイ,1148848
2024,シンガポール,691226
2024,マレーシア,506883
2024,インドネシア,517651
2024,フィリピン,818659
2024,ベトナム,621173
2024,インド,233061
2024,中東地域,166259
2024,,59499
2024,,62099
2024,,44661
2024,マカオ,123779
2024,モンゴル,53049
2024,その他アジア,345453
2024,ヨーロッパ計,2390258
2024,英国,437230
2024,フランス,385071
2024,ドイツ,325870
2024,イタリア,229785
2024,スペイン,182284
2024,ロシア,99264
2024,北欧地域,150730
2024,,52099
2024,,40950
2024,,28901
2024,,28780
2024,オランダ,102981
2024,スイス,72193
2024,ベルギー,47063
2024,ポーランド,63828
2024,オーストリア,36820
2024,ポルトガル,42300
2024,アイルランド,32995
2024,その他ヨーロッパ,181844
2024,アフリカ計,51130
2024,北アメリカ計,3478768
2024,米国,2724594
2024,カナダ,579445
2024,メキシコ,151835
2024,その他北アメリカ,22894
2024,南アメリカ計,155625
2024,ブラジル,85609
2024,その他南アメリカ,70016
2024,オセアニア計,1040961
2024,豪州,920196
2024,ニュージーランド,115012
2024,その他オセアニア,5753
2024,無国籍・その他,551
